analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
00w34i52gq6t9sa,MGI:1915282,Emc4,C57BL,Early adult,IMPC_HEM_006_001,Mean corpuscular hemoglobin,0.9394754
00wn0ae6km4l59a,MGI:1924955,Cstdc2,C57BL,Early adult,IMPC_EYE_017_001,Lens Opacity,0.5112005
00z341lw4tmt6na,MGI:97383,Ntrk1,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.2943943
00z890hx393ilox,MGI:1927753,Inpp5e,C57BL,E15.5,IMPC_CSD_078_001,Vocalization,0.2390857
00zzl5n354nxqlx,MGI:1337072,Ier5,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.9278199
0101197v0wg94cm,MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_CSD_038_001,Trunk curl,0.8866748
0104o7s3a87j8xm,MGI:1916428,Snx5,C57BL,Early adult,IMPC_XRY_022_001,Radius,0.8230056
010pfthu785n00m,MGI:2138198,D630023F18Rik,C57BL,Early adult,MGP_MLN_080_001,Effector gd cells - % of CD45+,0.1583881
01154eyw6fr4ksa,MGI:1349164,Sdc4,C57BL,Early adult,IMPC_ABR_010_001,24kHz-evoked ABR Threshold,0.4488389
0119w207801674a,MGI:2442704,Frrs1l,C57BL,Early adult,IMPC_HEM_019_001,Mean platelet volume,0.2394178
012nj01avmd1lta,MGI:107171,Ppp3r2,C57BL,Early adult,ESLIM_008_001_007,Transfer arousal,0.4180805
0148j10rn67205m,MGI:2444631,Bltp1,C57BL,E12.5,IMPC_GEL_058_001,Heart morphology,0.9944418
015r27o89nu19om,MGI:104899,Mob4,C57BL,Early adult,IMPC_GEP_011_002,Hemorrhage,0.7364502
017con0zw292b4x,MGI:1914199,Trim59,C57BL,Early adult,IMPC_HEM_001_001,White blood cell count,0.3669798
017ij28ay0424pa,MGI:1346069,Cdh20,C57BL,Early adult,JAX_OFD_009_001,Whole arena average speed,0.08096606
01b921qek008jta,MGI:1917770,Glipr2,C57BL,Early adult,IMPC_GEM_069_001,Hindbrain morphology,0.2369657
01f54429u7lju0m,MGI:104294,Tyro3,C57BL,Early adult,IMPC_OFD_050_001,Percentage center movement time,0.08298324
01fj2o71qs42e5m,MGI:1350930,Srp9,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.6145621
01ge61dn8hi19ga,MGI:2444631,Bltp1,C57BL,Early adult,IMPC_OFD_018_001,Latency to center entry,0.1009468
01i07bze1ka0h7m,MGI:1914210,Mindy3,C57BL,Early adult,IMPC_GEO_043_002,spina bifida,0.8417374
01ie1b51678c33m,MGI:1096385,Bcan,C57BL,Middle aged adult,IMPC_XRY_027_001,Joints,0.7977132
01m3xi97s2n51dm,MGI:1337072,Ier5,C57BL,Late adult,IMPC_EYE_017_001,Lens Opacity,0.1750285
01mu1hc5jp1385a,MGI:2140050,Ints3,C57BL,E9.5,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.7013873
01o8ma93k2jh04a,MGI:1919300,Poglut2,C57BL,Early adult,IMPC_ECH_012_001,LVPWs,0.3644325
01r6zq38j237c3x,MGI:1913746,Ppdpf,C57BL,Early adult,KMPCLA_GRS_010_001,Forelimb grip strength normalised against body weight,0.3783162
01u86p9b1p7222m,MGI:104899,Mob4,C57BL,E9.5,IMPC_EYE_063_001,Right inner nuclear layer,0.3873563
01u8anlu2l5336x,MGI:2685869,Dpy19l4,C57BL,Early adult,IMPC_CBC_017_001,Triglycerides,0.6230316
01u93w36bfs6i8x,MGI:2443564,Ambra1,C57BL,E9.5,IMPC_DXA_009_001,Fat/Body weight,0.6530873
01uyr330u5w680m,MGI:104793,Runx1t1,C57BL,Early adult,IMPC_GEP_034_001,Skin Appearance,0.1239294
01v9ewe28297m0m,MGI:1931071,Sec61a2,C57BL,Early adult,MGP_IMM_127_001,Plasmacytoid DC - % of CD45+,0.2049603
01w2u3pbz77f0cx,MGI:1921520,Usp20,C57BL,Early adult,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),0.6273834
01w6y063oouz3cm,MGI:2443100,Bend7,C57BL,Early adult,IMPC_GEM_025_002,Pallor,0.09748086
01wp726oud68fxm,MGI:1916022,Smpdl3b,C57BL,Early adult,M-G-P_012_001_005,Body Weight,0.0785232
01xz3gu16937b0x,MGI:2684789,Lrsam1,C57BL,Early adult,ESLIM_015_001_011,Iron,0.3689669
01y1t29rne9942m,MGI:2444508,Fitm2,C57BL,E15.5,IMPC_IMM_004_002,NKT cells (panel A) - % of live leukocytes (Panel A),0.6510462
020b5moy7na7pya,MGI:2444508,Fitm2,C57BL,E12.5,IMPC_OFD_011_001,Periphery resting time,0.4212592
0210uj52sfnyq1m,MGI:1914210,Mindy3,C57BL,Early adult,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.9821411
0218e8u318770dx,MGI:2443564,Ambra1,C57BL,E12.5,IMPC_CBC_002_001,Potassium,0.07443484
021m263ud9l732x,MGI:2139461,Tmem62,C57BL,Early adult,MGP_PBI_005_001,Gamma delta T cell percentage,0.4668118
021r02vbxk91w0m,MGI:95975,Ifi44l,C57BL,Early adult,IMPC_HEM_032_001,Lymphocyte cell count,0.318936
022gc237ebj202a,MGI:1890510,Atp6v0b,C57BL,Early adult,IMPC_DXA_009_001,Fat/Body weight,1.34313e-09
0232g8k88d03a3a,MGI:1915282,Emc4,C57BL,Early adult,IMPC_ACS_006_001,Response amplitude - S,0.5399675
023bk9d0i7s0i2x,MGI:2140050,Ints3,C57BL,E9.5,IMPC_IMM_011_002,CD4+ NKT cells - % of live leukocytes (Panel A),0.3644017
0245108s7uz1l8m,MGI:98386,Sptan1,C57BL,E15.5,MGP_MLN_080_001,Effector gd cells - % of CD45+,0.2250577
024a218si76x63x,MGI:107341,Ctss,C57BL,Early adult,IMPC_EYE_063_001,Right inner nuclear layer,0.05792599
024u1z73e2l45wa,MGI:2444631,Bltp1,C57BL,Early adult,ESLIM_011_001_005,PP4 startle magnitude,0.401883
02575h9x58qh36a,MGI:1309469,Casq2,C57BL,E12.5,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.9421668
0257jy8lbw1qugx,MGI:107171,Ppp3r2,C57BL,Early adult,IMPC_DXA_006_001,Body length,0.6978473
026260y2u9hb07x,MGI:1924486,Sccpdh,C57BL,Early adult,IMPC_EYE_092_002,Retina (combined),0.6742481
02698mow04s66px,MGI:1922387,Rprd2,C57BL,Early adult,IMPC_GEM_007_001,Pericardium Morphology,0.2628013
026k75cg613tf3a,MGI:3649135,Gm7694,C57BL,Early adult,CCP_XRY_061_001,Fusion of processes,0.6728696
027390994v23u8m,MGI:1350930,Srp9,C57BL,Early adult,IMPC_CSD_038_001,Trunk curl,0.06092209
027h5gy4d20558x,MGI:97565,Pgm1,C57BL,E12.5,IMPC_OFD_013_001,Periphery average speed,0.6550375
027r5454e3607tx,MGI:107171,Ppp3r2,C57BL,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,0.1549889
028649i7z74ppjx,MGI:1891259,Lrat,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.8125881
028rxl30b42a0yx,MGI:1350930,Srp9,C57BL,Early adult,MGP_IMM_073_001,Effector CD4+ T helper cells - % of CD45+,0.08269183
029dy8817hu966a,MGI:2140361,Slc35d1,C57BL,E18.5,IMPC_GEM_025_002,Pallor,0.3151736
02anbnosd8fb32m,MGI:3611233,Tox2,C57BL,Early adult,IMPC_EYE_025_001,Retinal Blood Vessels Structure,0.5267301
02as46e7k8x619x,MGI:1919880,Hspa12b,C57BL,Early adult,UCD_OWT_005_001,Right kidney,0.4667722
02b4f63i78a1e4a,MGI:107363,Stxbp1,C57BL,Early adult,IMPC_IPG_010_001,Fasted blood glucose concentration,0.8891581
02d92wf7l2gq8aa,MGI:2387617,Obp2a,C57BL,Early adult,IMPC_DXA_006_001,Body length,0.4420585
02d9ovn828dsz1a,MGI:1919128,Fam83d,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.3341795
02el665km2btt6m,MGI:1890510,Atp6v0b,C57BL,Early adult,CCP_XRY_001_001,Skull shape,0.1308271
02j1r41e88pm4vx,MGI:1921735,Lrrc71,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.2153291
02k906jw50k52ix,MGI:1915643,Mogat1,C57BL,Early adult,MGP_IMM_010_001,Effector Treg cells - % of Treg,0.6912183
02osij4k0z0f32a,MGI:3588202,Garin4,C57BL,Early adult,IMPC_EYE_027_001,Persistence of hyaloid vascular system,0.5908706
02p6a3gxvgcjtbm,MGI:1923676,Fam209,C57BL,Early adult,MGP_IMM_004_001,Total CD4+ T cells - % of ab T cells,0.7501101
02rzs5yrbg61t0a,MGI:1920199,Ccnt2,C57BL,Early adult,IMPC_GEO_065_001,Limb morphology,0.5905942
02vct6ue041861x,MGI:1917120,Polr3gl,C57BL,E18.5,JAX_ROT_002_001,Average duration,0.1745492
02vwoq2693v4k9x,MGI:1923073,Fam227b,C57BL,Early adult,CCP_XRY_005_001,Teeth,0.7747743
02x42vxp3s42h5m,MGI:106637,Slc30a2,C57BL,Early adult,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.8122028
02xtpg7mh4r691m,MGI:98386,Sptan1,C57BL,E9.5,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.6218659
02y3139d5t3wm2m,MGI:107363,Stxbp1,C57BL,E18.5,HMGULA_DYS_014_001,Coat - hair texture / appearance - back,0.1083035
02y4858mhj7tv0x,MGI:106925,Cldn11,C57BL,Middle aged adult,IMPC_EYE_056_001,Mean left eye lens density,0.471783
030878x231xvz7m,MGI:1914454,Eif2s2,C57BL,E9.5,ESLIM_015_001_002,Urea,0.6083802
0312medn03w0kbm,MGI:1337072,Ier5,C57BL,Late adult,MGP_MLN_114_001,Total DC - % of CD45+,0.6739605
031b7yx76ji945m,MGI:1927753,Inpp5e,C57BL,E12.5,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.9947938
031g5otg7s3o3ca,MGI:97383,Ntrk1,C57BL,Early adult,IMPC_ECH_018_001,Respiration Rate,0.08249887
032750z8233w14x,MGI:2444631,Bltp1,C57BL,E12.5,CCP_XRY_031_001,Digit integrity,0.149796
033qb4itb57w7ym,MGI:1924232,Vxn,C57BL,Early adult,ESLIM_016_001_004,Haematocrit,0.7883811
0345wef0b6h4s8x,MGI:1931071,Sec61a2,C57BL,Early adult,MGP_PBI_015_001,IgD+ mature B cell percentage,0.3718842
034lv7865j4z97x,MGI:97324,Nhlh2,C57BL,Early adult,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.8660292
0356e578f823khx,MGI:2445096,Dhtkd1,C57BL,Early adult,MGP_CSD_026_001,Ventral coat/hair colour,0.6006808
035v282575h65kx,MGI:104559,Rcn1,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.9466729
03690vcj955tk0a,MGI:1922387,Rprd2,C57BL,E9.5,ESLIM_008_001_016,Trunk curl,0.7063446
037i9828h0of3na,MGI:1913491,Tmem9,C57BL,Early adult,IMPC_EYE_065_001,Right posterior chamber depth,0.4643552
037qpl5cun9619a,MGI:103559,Sox18,C57BL,Early adult,IMPC_CBC_004_001,Urea (Blood Urea Nitrogen - BUN),0.2242012
03877q45689600a,MGI:2444391,Slc25a44,C57BL,Early adult,M-G-P_016_001_006,Mean-corpuscular-haemoglobin,0.9982552
038u8h5x7c6cxmm,MGI:2676312,Abca12,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.7131597
038wb1ggu71dcix,MGI:1923953,Cpb1,C57BL,Early adult,IMPC_GEP_022_001,Embryo Size,0.437636
038y695v157946x,MGI:1921520,Usp20,C57BL,Early adult,IMPC_CBC_013_001,Alanine aminotransferase,0.3223831
039188n5m6n8nex,MGI:104516,Slc23a3,C57BL,Early adult,IMPC_IMM_004_002,NKT cells (panel A) - % of live leukocytes (Panel A),0.525513
0398g4d3l1t01rx,MGI:2135283,Igsf9,C57BL,Early adult,ESLIM_005_001_701,BMC/Body weight,0.2325874
039kx8lo4t908nm,MGI:1920484,Snorc,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.8559221
03a0e6b472bxv5m,MGI:1924467,Rspo4,C57BL,Early adult,IMPC_EYE_069_001,Left inner nuclear layer,0.64724
03aq764yy367bka,MGI:104793,Runx1t1,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.6861189
03at4z6y1mvvypm,MGI:1915599,Ndufs3,C57BL,Early adult,CCP_XRY_005_001,Teeth,0.1114065
03d8m8977xa4wgx,MGI:1913721,Anp32e,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.09163452
03g5lk92a1f37vm,MGI:97565,Pgm1,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.52135
03j38j70489ka3x,MGI:2158201,Acot8,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.1999087
03o34612ocewe5a,MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_EYE_025_001,Retinal Blood Vessels Structure,0.7375433
03odn18al98f8cm,MGI:98386,Sptan1,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.2837255
03p58a68nvn188x,MGI:3576049,Ugt1a2,C57BL,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,0.6887831
03qe9prx526ua3a,MGI:1918398,Mier1,C57BL,Early adult,CCP_LDT_008_001,Percent time in light,0.13155
03s5cuts2982d6a,MGI:1924232,Vxn,C57BL,Early adult,IMPC_CSD_026_001,Head morphology,0.7683114
03tpp99mpx32efm,MGI:2444631,Bltp1,C57BL,E12.5,MGP_MLN_080_001,Effector gd cells - % of CD45+,0.4469908
03w57iuaa187yaa,MGI:1350930,Srp9,C57BL,E12.5,IMPC_DXA_009_001,Fat/Body weight,0.3735927
03yk9pf19hv1w7a,MGI:1914454,Eif2s2,C57BL,E12.5,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.9881373
03zu94dlv7p138a,MGI:1915862,Ube2c,C57BL,E18.5,IMPC_CBC_023_001,Alpha-amylase,0.547062
04127f0ef0o025a,MGI:97565,Pgm1,C57BL,E9.5,IMPC_EYE_064_001,Right outer nuclear layer,0.3302339
041mpe7259n283x,MGI:1913790,Fam107b,C57BL,Early adult,MGP_IMM_086_001,CD5+ gd T cells - % of CD45+,0.06371847
041n959wy0n065m,MGI:1926106,Fam163b,C57BL,Early adult,IMPC_HEM_038_001,Basophil differential count,0.8527822
042a5w3p49nouba,MGI:105383,Il18r1,C57BL,Early adult,IMPC_OFD_009_001,Whole arena average speed,0.8833708
042lk77sc111t5a,MGI:2685195,Zbtb34,C57BL,E9.5,IMPC_XRY_027_001,Joints,0.8634949
0443s3p19891rrm,MGI:2443100,Bend7,C57BL,Early adult,MGP_MLN_075_001,Resting CD8+ T cells - % of CD45+,0.6204375
044za1ra467o5hm,MGI:2679260,Crb2,C57BL,Early adult,IMPC_CSD_078_001,Vocalization,0.4162955
0452x7eg152rqim,MGI:2442177,Pced1a,C57BL,Early adult,IMPC_CSD_078_001,Vocalization,0.5326356
0464p54u5tgl0dm,MGI:106925,Cldn11,C57BL,Middle aged adult,MGP_IMM_012_001,KLRG1+ Treg cells - % of Treg,0.2839288
047949s748q6s2x,MGI:1096385,Bcan,C57BL,Late adult,UCDLA_CSD_011_001,Coat - hair distribution - back,0.9985413
0480r5g6edjyx3x,MGI:1916987,Ttl,C57BL,E12.5,MGP_PBI_015_001,IgD+ mature B cell percentage,0.2463879
04835r73s9d4uxx,MGI:1913790,Fam107b,C57BL,Early adult,M-G-P_026_001_010,Mouth morphology,5.686925e-07
0497l9za892c28m,MGI:1921520,Usp20,C57BL,Early adult,CCP_LDT_007_001,Percent time in dark,0.8367766
049oz3m2z06hz3x,MGI:1922776,Eppin,C57BL,Early adult,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.7482361
04dgvr83ox7zc5a,MGI:1346342,Clca1,C57BL,Early adult,IMPC_GEO_043_002,spina bifida,0.09189939
04f5vvhh4ig4u9m,MGI:106637,Slc30a2,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.702226
04ir49lo821667a,MGI:1923073,Fam227b,C57BL,Early adult,M-G-P_025_001_002,Urea,0.5162972
04kj8m4x3b343kx,MGI:2676312,Abca12,C57BL,Early adult,IMPC_OWT_002_001,Spleen weight,0.5902634
04ku50665zepwcx,MGI:2384297,Map7d1,C57BL,E9.5,IMPC_ACS_006_001,Response amplitude - S,0.3050735
04ot9ig441lo27x,MGI:1919471,Cimip1,C57BL,Early adult,MGP_IMM_005_001,CD4+ T helper cells - % of CD4+,0.730254
04r6ia22817yksm,MGI:2684789,Lrsam1,C57BL,Early adult,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.4452064
04r741hu83rt2ka,MGI:2444508,Fitm2,C57BL,E12.5,JAX_OFD_009_001,Whole arena average speed,0.5122807
04ri5w0ev3f00rx,MGI:1916987,Ttl,C57BL,Early adult,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.06292944
04y1dofey92zkoa,MGI:3617846,Ankrd34a,C57BL,Early adult,MGP_IMM_016_001,Naive CD8+ T cells - % of CD8+,0.3488772
04yp60752t1e07x,MGI:1201673,Shox2,C57BL,E15.5,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.1060898
04z764c2x99g13x,MGI:87867,Acadm,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.2423103
050c25yjvdfe36a,MGI:1919369,Tpx2,C57BL,E9.5,IMPC_EYE_087_001,Right vitreous humor thickness,0.907695
050t179i06k9ihx,MGI:106637,Slc30a2,C57BL,E9.5,IMPC_ACS_035_001,% Pre-pulse inhibition - PPI3,0.147197
05120v5c87h86ca,MGI:1918142,Ttll7,C57BL,Early adult,IMPC_CSD_028_001,Snout size,0.3186615
05148743bn1j97x,MGI:1924232,Vxn,C57BL,Early adult,IMPC_DXA_009_001,Fat/Body weight,0.9655122
051r454w4671eoa,MGI:1913423,CCDC107,C57BL,Early adult,CCP_XRY_018_001,Shape of vertebrae,0.7850896
0524f47bc3bebya,MGI:3617846,Ankrd34a,C57BL,Early adult,JAX_PLC_004_001,Glucose,0.8758001
05382xo7rz29c4m,MGI:1917120,Polr3gl,C57BL,Early adult,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.7956127
053zgu37c1i991a,MGI:106925,Cldn11,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.8582319
0543w6t53mw4j6m,MGI:106637,Slc30a2,C54BL,E9.5,IMPC_CBC_016_001,HDL-cholesterol,0.2671063
0546847ye551j7x,MGI:88525,Cryge,C57BL,Early adult,MGP_IMM_019_001,CD5+ gd T cells - % of gd T cells,0.635224
055v2d9ae4ois7x,MGI:1095412,Unc5c,C57BL,Middle aged adult,JAX_LDT_002_001,Light side time spent,0.803952
05922217utd5h0m,MGI:103300,Rbl1,C57BL,Early adult,UCD_OWT_003_001,Spleen weight,0.9466426
0594f1f839q896x,MGI:3611450,Mettl21c,C57BL,Early adult,IMPC_XRY_027_001,Joints,0.860063
0596l05fbk52prx,MGI:1920199,Ccnt2,C57BL,Early adult,IMPC_CBC_004_001,Urea (Blood Urea Nitrogen - BUN),0.2126099
059f92d36g8kd7a,MGI:95777,Gnas,129SV,Early adult,IMPC_CBC_003_001,Chloride,0.3035859
05b6y0jr5z3mn5m,MGI:2444508,Fitm2,C57BL,E15.5,IMPC_XRY_023_001,Ulna,0.3347577
05e51ha85tpjaox,MGI:1927241,Wdr12,C57BL,E12.5,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.5628369
05j4m9u90038yxx,MGI:1922387,Rprd2,C57BL,E12.5,IMPC_CSD_013_001,Coat - hair distribution - abdomen,0.9571669
05jf4518147g0ta,MGI:2387617,Obp2a,C57BL,Early adult,IMPC_XRY_023_001,Ulna,1.176422
05l30270qmp68xx,MGI:1918398,Mier1,C57BL,Early adult,JAX_OFD_014_001,Center distance travelled,0.1371298
05n8349q911pl2x,MGI:1927241,Wdr12,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.9110654
05oaw9i8ezualka,MGI:1917770,Glipr2,C57BL,Early adult,IMPC_EYE_092_002,Retina (combined),0.5466274
05tn172q45o55ux,MGI:1859866,Cdc20,C57BL,Early adult,IMPC_FEA_015_001,Cue Baseline % Freezing Time,0.1600154
05upk1yr9wnej9m,MGI:101770,Bfsp1,C57BL,Early adult,IMPC_ECH_013_001,HR,0.5324877
05vtxg3c29a9rnm,MGI:2443805,Bnc2,C57BL,Early adult,IMPC_HEM_030_001,Neutrophil cell count,0.9722131
05w516on28k549m,MGI:2444274,Cfap65,C57BL,Early adult,IMPC_OFD_009_001,Whole arena average speed,0.8452188
05wmaa2069ex6px,MGI:2444631,Bltp1,C57BL,Early adult,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.8972444
05x4s2z23639h1m,MGI:1927753,Inpp5e,C57BL,E15.5,IMPC_HEM_004_001,Hematocrit,0.6239287
0600hmp730pq49x,MGI:98386,Sptan1,C57BL,E9.5,IMPC_HEM_027_001,Red blood cell distribution width,0.3070182
0608979s64gxtkx,MGI:1916987,Ttl,C57BL,E12.5,IMPC_OFD_019_001,Number of center entries,0.5850847
061919618r0032m,MGI:1921263,Rftn2,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.216896
062a42w299j55jx,MGI:1914454,Eif2s2,C57BL,E12.5,IMPC_IMM_011_002,CD4+ NKT cells - % of live leukocytes (Panel A),0.511238
062i1078mi8rbwm,MGI:1309469,Casq2,C57BL,E12.5,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.1754263
062w1t19s06pp9m,MGI:107363,Stxbp1,C57BL,E18.5,IMPC_GEM_068_001,Forebrain morphology,0.5097024
0633ivbn37473cx,MGI:1924232,Vxn,C57BL,Early adult,UCDLA_EYE_083_001,Vitreous,0.2447342
0654dea30c8640m,MGI:88015,Ampd1,C57BL,E15.5,IMPC_EYE_017_001,Lens Opacity,0.1266463
0677c92pufcwk6a,MGI:107191,Bmpr1b,C57BL,Early adult,ESLIM_020_001_002,Heart weight,0.8926117
067x1l1iyk6617x,MGI:1916330,Gmppa,C57BL,Early adult,IMPC_ECH_012_001,LVPWs,0.2877018
068k675497881ea,MGI:1919471,Cimip1,C57BL,Early adult,IMPC_GEO_064_001,Edema,0.7090884
068wc9t3eas7hra,MGI:1922387,Rprd2,C57BL,E12.5,ESLIM_016_001_004,Haematocrit,0.6936145
0692417a41eyt3m,MGI:1096385,Bcan,C57BL,Late adult,UCDIP_CSD_014_001,Coat - hair texture / appearance - back,0.3606844
06a94qi05emm13m,MGI:104294,Tyro3,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.6970378
06d94662b697njx,MGI:1922776,Eppin,C57BL,Early adult,IMPC_HEM_027_001,Red blood cell distribution width,0.110921
06f26zf05j803ta,MGI:2138198,D630023F18Rik,C57BL,Early adult,IMPC_CBC_024_001,UIBC (unsaturated iron binding capacity),0.6335595
06fninx58a1sh1x,MGI:2140050,Ints3,C57BL,Early adult,IMPC_IPG_012_001,Area under glucose response curve,0.2550914
06h453ezyiy492a,MGI:98397,Src,129SV,Early adult,IMPC_ECG_028_001,QT,0.7352954
06md03c2s1p8jra,MGI:1919051,Plekhf2,C57BL,Early adult,MGP_PBI_005_001,Gamma delta T cell percentage,0.2384632
06nrj64in2q851a,MGI:101813,Coq3,C57BL,E9.5,CCP_XRY_004_001,Mandibles,0.7553434
06pdct366icub1m,MGI:2444631,Bltp1,C57BL,Early adult,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.09500919
06u61l960i4i65x,MGI:101813,Coq3,C57BL,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.7247845
06vebg7j8566r6x,MGI:98386,Sptan1,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.2707336
06w4k91o3mog7tm,MGI:2677271,Slc24a5,C57BL,Early adult,IMPC_GEO_019_001,Embryo Size,0.800492
06z86l911i53ria,MGI:107674,Cd1d1,C57BL,Early adult,IMPC_OFD_050_001,Percentage center movement time,0.7779199
0701i3urz72h2cm,MGI:101813,Coq3,C57BL,E9.5,CCP_LDT_003_001,Time mobile light side,0.2634812
0723snm2ry79ztx,MGI:1914199,Trim59,C57BL,E18.5,IMPC_HEM_003_001,Hemoglobin,0.3516525
072d0j9wgn14y6m,MGI:1919051,Plekhf2,C57BL,Early adult,UCDLA_CSD_011_001,Coat - hair distribution - back,0.2075904
072d6jz1dw34l6m,MGI:1096385,Bcan,C57BL,Late adult,IMPC_GEM_019_001,Embryo Size,0.8960334
