"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name"
"0398g4d3l1t01rx","MGI:2135283","Igsf9","C57BL","Early adult","ESLIM_005_001_701","0.2325874","BMC/Body weight"
"03aq764yy367bka","MGI:104793","Runx1t1","C57BL","Early adult","JAX_OFD_017_001","0.6861189","Center average speed"
"03d8m8977xa4wgx","MGI:1913721","Anp32e","C57BL","Early adult","IMPC_IMM_032_002","0.09163452","Effector CD8+ T cells - % of live leukocytes (Panel A)"
"03j38j70489ka3x","MGI:2158201","Acot8","C57BL","Early adult","CCP_XRY_019_001","0.1999087","Fusion of vertebrae"
"03o34612ocewe5a","MGI:1919880","Hspa12b","C57BL","Early adult","IMPC_EYE_025_001","0.7375433","Retinal Blood Vessels Structure"
"03p58a68nvn188x","MGI:3576049","Ugt1a2","C57BL","Early adult","IMPC_EYE_070_001","0.6887831","Left outer nuclear layer"
"03qe9prx526ua3a","MGI:1918398","Mier1","C57BL","Early adult","CCP_LDT_008_001","0.13155","Percent time in light"
"03s5cuts2982d6a","MGI:1924232","Vxn","C57BL","Early adult","IMPC_CSD_026_001","0.7683114","Head morphology"
"03w57iuaa187yaa","MGI:1350930","Srp9","C57BL","E12.5","IMPC_DXA_009_001","0.3735927","Fat/Body weight"
"03yk9pf19hv1w7a","MGI:1914454","Eif2s2","C57BL","E12.5","IMPC_FEA_003_001","0.9881373","Conditioning Baseline % Freezing Time"
"03zu94dlv7p138a","MGI:1915862","Ube2c","C57BL","E18.5","IMPC_CBC_023_001","0.547062","Alpha-amylase"
"04127f0ef0o025a","MGI:97565","Pgm1","C57BL","E9.5","IMPC_EYE_064_001","0.3302339","Right outer nuclear layer"
"041mpe7259n283x","MGI:1913790","Fam107b","C57BL","Early adult","MGP_IMM_086_001","0.06371847","CD5+ gd T cells - % of CD45+"
"042a5w3p49nouba","MGI:105383","Il18r1","C57BL","Early adult","IMPC_OFD_009_001","0.8833708","Whole arena average speed"
"042lk77sc111t5a","MGI:2685195","Zbtb34","C57BL","E9.5","IMPC_XRY_027_001","0.8634949","Joints"
"047949s748q6s2x","MGI:1096385","Bcan","C57BL","Late adult","UCDLA_CSD_011_001","0.9985413","Coat - hair distribution - back"
"0480r5g6edjyx3x","MGI:1916987","Ttl","C57BL","E12.5","MGP_PBI_015_001","0.2463879","IgD+ mature B cell percentage"
"04835r73s9d4uxx","MGI:1913790","Fam107b","C57BL","Early adult","M-G-P_026_001_010","5.686925e-07","Mouth morphology"
"049oz3m2z06hz3x","MGI:1922776","Eppin","C57BL","Early adult","MGP_IMM_006_001","0.7482361","Effector CD4+ T helper cells - % of CD4+ T helper cells"
"04dgvr83ox7zc5a","MGI:1346342","Clca1","C57BL","Early adult","IMPC_GEO_043_002","0.09189939","spina bifida"
"04ir49lo821667a","MGI:1923073","Fam227b","C57BL","Early adult","M-G-P_025_001_002","0.5162972","Urea"
"04kj8m4x3b343kx","MGI:2676312","Abca12","C57BL","Early adult","IMPC_OWT_002_001","0.5902634","Spleen weight"
"04ku50665zepwcx","MGI:2384297","Map7d1","C57BL","E9.5","IMPC_ACS_006_001","0.3050735","Response amplitude - S"
"04ot9ig441lo27x","MGI:1919471","Cimip1","C57BL","Early adult","MGP_IMM_005_001","0.730254","CD4+ T helper cells - % of CD4+"
"04r741hu83rt2ka","MGI:2444508","Fitm2","C57BL","E12.5","JAX_OFD_009_001","0.5122807","Whole arena average speed"
"04ri5w0ev3f00rx","MGI:1916987","Ttl","C57BL","Early adult","IMPC_CSD_015_001","0.06292944","Coat - hair texture / appearance - head"
"04y1dofey92zkoa","MGI:3617846","Ankrd34a","C57BL","Early adult","MGP_IMM_016_001","0.3488772","Naive CD8+ T cells - % of CD8+"
"04yp60752t1e07x","MGI:1201673","Shox2","C57BL","E15.5","IMPC_GRS_009_001","0.1060898","Forelimb and hindlimb grip strength measurement mean"
"04z764c2x99g13x","MGI:87867","Acadm","C57BL","Early adult","JAX_LDT_009_001","0.2423103","Percent time in light"
"050c25yjvdfe36a","MGI:1919369","Tpx2","C57BL","E9.5","IMPC_EYE_087_001","0.907695","Right vitreous humor thickness"
"050t179i06k9ihx","MGI:106637","Slc30a2","C57BL","E9.5","IMPC_ACS_035_001","0.147197","% Pre-pulse inhibition - PPI3"
"05120v5c87h86ca","MGI:1918142","Ttll7","C57BL","Early adult","IMPC_CSD_028_001","0.3186615","Snout size"
"05148743bn1j97x","MGI:1924232","Vxn","C57BL","Early adult","IMPC_DXA_009_001","0.9655122","Fat/Body weight"
"051r454w4671eoa","MGI:1913423","CCDC107","C57BL","Early adult","CCP_XRY_018_001","0.7850896","Shape of vertebrae"
"0524f47bc3bebya","MGI:3617846","Ankrd34a","C57BL","Early adult","JAX_PLC_004_001","0.8758001","Glucose"
"053zgu37c1i991a","MGI:106925","Cldn11","C57BL","Early adult","IMPC_GRS_010_001","0.8582319","Forelimb grip strength normalised against body weight"
"0546847ye551j7x","MGI:88525","Cryge","C57BL","Early adult","MGP_IMM_019_001","0.635224","CD5+ gd T cells - % of gd T cells"
"055v2d9ae4ois7x","MGI:1095412","Unc5c","C57BL","Middle aged adult","JAX_LDT_002_001","0.803952","Light side time spent"
"0594f1f839q896x","MGI:3611450","Mettl21c","C57BL","Early adult","IMPC_XRY_027_001","0.860063","Joints"
"0596l05fbk52prx","MGI:1920199","Ccnt2","C57BL","Early adult","IMPC_CBC_004_001","0.2126099","Urea (Blood Urea Nitrogen - BUN)"
"059f92d36g8kd7a","MGI:95777","Gnas","129SV","Early adult","IMPC_CBC_003_001","0.3035859","Chloride"
"05e51ha85tpjaox","MGI:1927241","Wdr12","C57BL","E12.5","IMPC_GRS_010_001","0.5628369","Forelimb grip strength normalised against body weight"
"05j4m9u90038yxx","MGI:1922387","Rprd2","C57BL","E12.5","IMPC_CSD_013_001","0.9571669","Coat - hair distribution - abdomen"
"05jf4518147g0ta","MGI:2387617","Obp2a","C57BL","Early adult","IMPC_XRY_023_001","1.176422","Ulna"
"05l30270qmp68xx","MGI:1918398","Mier1","C57BL","Early adult","JAX_OFD_014_001","0.1371298","Center distance travelled"
"05n8349q911pl2x","MGI:1927241","Wdr12","C57BL","Early adult","ESLIM_008_001_022","0.9110654","Vocalisation"
"05oaw9i8ezualka","MGI:1917770","Glipr2","C57BL","Early adult","IMPC_EYE_092_002","0.5466274","Retina (combined)"
"05tn172q45o55ux","MGI:1859866","Cdc20","C57BL","Early adult","IMPC_FEA_015_001","0.1600154","Cue Baseline % Freezing Time"
"05wmaa2069ex6px","MGI:2444631","Bltp1","C57BL","Early adult","MGP_IMM_013_001","0.8972444","Total CD8+ T cells - % of ab T cells"
"0600hmp730pq49x","MGI:98386","Sptan1","C57BL","E9.5","IMPC_HEM_027_001","0.3070182","Red blood cell distribution width"
"0608979s64gxtkx","MGI:1916987","Ttl","C57BL","E12.5","IMPC_OFD_019_001","0.5850847","Number of center entries"
"062a42w299j55jx","MGI:1914454","Eif2s2","C57BL","E12.5","IMPC_IMM_011_002","0.511238","CD4+ NKT cells - % of live leukocytes (Panel A)"
"0633ivbn37473cx","MGI:1924232","Vxn","C57BL","Early adult","UCDLA_EYE_083_001","0.2447342","Vitreous"
"0677c92pufcwk6a","MGI:107191","Bmpr1b","C57BL","Early adult","ESLIM_020_001_002","0.8926117","Heart weight"
"067x1l1iyk6617x","MGI:1916330","Gmppa","C57BL","Early adult","IMPC_ECH_012_001","0.2877018","LVPWs"
"068k675497881ea","MGI:1919471","Cimip1","C57BL","Early adult","IMPC_GEO_064_001","0.7090884","Edema"
"068wc9t3eas7hra","MGI:1922387","Rprd2","C57BL","E12.5","ESLIM_016_001_004","0.6936145","Haematocrit"
"06d94662b697njx","MGI:1922776","Eppin","C57BL","Early adult","IMPC_HEM_027_001","0.110921","Red blood cell distribution width"
"06f26zf05j803ta","MGI:2138198","D630023F18Rik","C57BL","Early adult","IMPC_CBC_024_001","0.6335595","UIBC (unsaturated iron binding capacity)"
"06fninx58a1sh1x","MGI:2140050","Ints3","C57BL","Early adult","IMPC_IPG_012_001","0.2550914","Area under glucose response curve"
"06h453ezyiy492a","MGI:98397","Src","129SV","Early adult","IMPC_ECG_028_001","0.7352954","QT"
"06md03c2s1p8jra","MGI:1919051","Plekhf2","C57BL","Early adult","MGP_PBI_005_001","0.2384632","Gamma delta T cell percentage"
"06nrj64in2q851a","MGI:101813","Coq3","C57BL","E9.5","CCP_XRY_004_001","0.7553434","Mandibles"
"06u61l960i4i65x","MGI:101813","Coq3","C57BL","Early adult","MGP_CSD_027_001","0.7247845","Ventral coat/hair colour pattern"
"06vebg7j8566r6x","MGI:98386","Sptan1","C57BL","Early adult","JAX_LDT_009_001","0.2707336","Percent time in light"
"06z86l911i53ria","MGI:107674","Cd1d1","C57BL","Early adult","IMPC_OFD_050_001","0.7779199","Percentage center movement time"
"0723snm2ry79ztx","MGI:1914199","Trim59","C57BL","E18.5","IMPC_HEM_003_001","0.3516525","Hemoglobin"
"073778ia03bh34a","MGI:105383","Il18r1","C57BL","Early adult","IMPC_GEM_019_001","0.4117648","Embryo Size"
"0747vht20q2p02a","MGI:107363","Stxbp1","C57BL","E9.5","IMPC_CSD_007_001","0.8087706","Coat - color - abdomen"
"07486sg57q2g88a","MGI:1914454","Eif2s2","C57BL","Early adult","IMPC_GRS_009_001","0.4390814","Forelimb and hindlimb grip strength measurement mean"
"074c04mnawg160a","MGI:1309469","Casq2","C57BL","E15.5","IMPC_CBC_010_001","0.6057513","Phosphorus"
"0752vvc4kcv351a","MGI:1922423","Tex38","C57BL","Early adult","IMPC_EYE_023_001","0.7258464","Optic Disc"
"0752z0i6t2e03ix","MGI:1913761","Chtop","C57BL","Early adult","MGP_MLN_015_001","0.0529714","Naive CD8+ T cells - % of CD8+"
"075s8yvc3t8n7tx","MGI:2385213","Pdik1l","C57BL","Late adult","ESLIM_015_001_011","0.4683818","Iron"
"076f05296k85ala","MGI:1921263","Rftn2","C57BL","Early adult","IMPC_XRY_057_001","0.3223051","Kyphosis"
"076k1wlm51586ba","MGI:3576049","Ugt1a2","C57BL","Early adult","IMPC_EYE_063_001","0.4940689","Right inner nuclear layer"
"0776n2j5nr1o9jx","MGI:1201673","Shox2","C50BL","E12.5","MGP_IMM_013_001","0.09771712","Total CD8+ T cells - % of ab T cells"
"078q5n56png8x0a","MGI:2444824","Sirpb1a","C57BL","Early adult","IMPC_CSD_014_001","0.135488","Coat - hair texture / appearance - back"
"079e3wj41fqfw5a","MGI:1309469","Casq2","C57BL","E12.5","IMPC_GEL_011_001","0.9776704","Embryo turning"
"079wh8tav077m7x","MGI:88015","Ampd1","C57BL","E15.5","MGP_IMM_052_001","0.6604419","Plasma cells - % of B2 cells"
"07g7ee269889hqx","MGI:1919128","Fam83d","C57BL","Early adult","IMPC_CBC_003_001","0.7223276","Chloride"
"07gd0kd6233474x","MGI:1337072","Ier5","C57BL","Late adult","ESLIM_008_001_016","0.5455338","Trunk curl"
"07gqa9r89qz267a","MGI:1890510","Atp6v0b","C57BL","Early adult","IMPC_CSD_014_001","0.4726685","Coat - hair texture / appearance - back"
"07jj6grn0da587x","MGI:3588216","Ube2u","C57BL","Early adult","JAX_LDT_002_001","0.7405956","Light side time spent"
"07nj8z7r81p6xex","MGI:104516","Slc23a3","C57BL","Early adult","IMPC_EYE_065_001","0.9605218","Right posterior chamber depth"
"07u3f43r4wxmjta","MGI:1095412","Unc5c","C57BL","Middle aged adult","IMPC_CBC_010_001","0.06121722","Phosphorus"
"07ub33903j8215a","MGI:104708","Cct3","C57BL","E9.5","IMPC_CSD_023_001","0.7877606","Vibrissae - presence"
"07w4051nh0x3aea","MGI:97803","Ptma","C57BL","E15.5","IMPC_GRS_011_001","0.9940189","Forelimb and hindlimb grip strength normalised against body weight"
"07z2txj4tab59aa","MGI:2679420","Pak6","C57BL","Early adult","IMPC_EYE_062_001","0.6163224","Right total retinal thickness"
"080ck2b0z14gi6a","MGI:1201673","Shox2","C57BL","E9.5","MGP_IMM_128_001","0.7267413","Conventional DC (cDC) - % of CD45+"
"080pk8838f04o7a","MGI:2140050","Ints3","C57BL","E9.5","HMGULA_DYS_016_001","0.4278983","Coat - hair texture / appearance - abdomen"
"080vp2b940a4rtx","MGI:99218","Cdh4","C57BL","Early adult","IMPC_CBC_008_001","0.9658038","Total bilirubin"
"080z634t614r3sx","MGI:1096385","Bcan","C57BL","Middle aged adult","IMPC_XRY_015_001","0.5412016","Number of lumbar vertebrae"
"082329f91i2575x","MGI:2679260","Crb2","C57BL","Early adult","UCD_OWT_003_001","0.343523","Spleen weight"
"083efzr059b4k6a","MGI:1913761","Chtop","C57BL","Early adult","IMPC_XRY_060_001","0.5750767","Transitional vertebrae"
"0861urmowsjt0vx","MGI:2139018","Olah","C57BL","Early adult","MGP_IMM_116_001","0.8235727","Plasma cells - % of CD45+"
"0868n25ok998e1a","MGI:88525","Cryge","C57BL","Early adult","IMPC_CBC_001_001","0.2056472","Sodium"
"087g0x71tpuw3ia","MGI:3650206","Gm12695","C57BL","Early adult","M-G-P_025_001_005","0.6426002","Potassium"
"088053ims840p3a","MGI:2685195","Zbtb34","C57BL","E9.5","CCP_LDT_003_001","0.3447588","Time mobile light side"
"08b46ijf7ua941x","MGI:1914454","Eif2s2","C57BL","E9.5","MGP_IMM_093_001","0.07227868","Resting CD4- NKT cells - % of CD45+"
"08bxxb251j98uea","MGI:1890510","Atp6v0b","C57BL","Early adult","UCDIP_CSD_014_001","0.1878189","Coat - hair texture / appearance - back"
"08ck7ev3117163x","MGI:2443564","Ambra1","C57BL","Early adult","CCP_XRY_018_001","0.8852809","Shape of vertebrae"
"08e3d725v5u301x","MGI:1931071","Sec61a2","C57BL","Early adult","IMPC_ECG_028_001","0.3854255","QT"
"08igxmzrs878e5x","MGI:2443925","Thsd7b","C57BL","Early adult","IMPC_EYE_008_001","0.674995","Corneal opacity"
"08j876c7sjp3ljx","MGI:1346086","Aplnr","C57BL","Early adult","MGP_MLN_014_001","0.3072632","Resting CD8+ T cells - % of CD8+"
"08kxvel1t0849qx","MGI:1339968","Cth","C57BL","Early adult","IMPC_XRY_012_001","0.1726491","Pelvis"
"08u90dex56p4w9a","MGI:1918142","Ttll7","C57BL","Early adult","IMPC_CSD_025_001","0.5246922","Head size"
"08w0vc04s31x96x","MGI:1350930","Srp9","C57BL","E12.5","JAX_OFD_021_001","0.5059387","Number of rears - total"
"08yb1o2cc62g2nx","MGI:1924265","Mpped2","C57BL","Early adult","IMPC_ECH_018_001","0.9974112","Respiration Rate"
"09224w645t92q0a","MGI:1924232","Vxn","C57BL","Early adult","MGP_IMM_006_001","0.8840702","Effector CD4+ T helper cells - % of CD4+ T helper cells"
"093yqd237y653ga","MGI:1278321","Epc2","C57BL","Early adult","IMPC_CSD_036_001","0.5931636","Startle response"
"0940k7x9cd0h2mx","MGI:2676312","Abca12","C57BL","Early adult","IMPC_CSD_028_001","0.2030563","Snout size"
"0970c14h32zc7zx","MGI:1918142","Ttll7","C57BL","Early adult","IMPC_GEL_058_001","0.2557134","Heart morphology"
"098l5d63wil8w3x","MGI:1914199","Trim59","C57BL","E18.5","IMPC_CBC_002_001","0.9871648","Potassium"
"09d4d0hw355q9xa","MGI:98960","Wnt6","C57BL","E12.5","IMPC_HEM_003_001","0.796572","Hemoglobin"
"09e1be2j2o03elx","MGI:2444508","Fitm2","C57BL","E12.5","IMPC_HEM_019_001","0.1453793","Mean platelet volume"
"09f1ren40713hbx","MGI:1913761","Chtop","C57BL","Early adult","IMPC_HEM_004_001","0.5800781","Hematocrit"
"09fm0600ge4075x","MGI:1350930","Srp9","C57BL","E12.5","MGP_IMM_124_001","0.1312832","Monocytes - % of CD45+"
"09g2q4g07j0ql5a","MGI:109424","Abca4","C57BL","Early adult","IMPC_GEO_065_001","0.7525361","Limb morphology"
"09n00195640a7kx","MGI:1913761","Chtop","C57BL","Early adult","IMPC_ECG_003_001","0.5038811","CV"
"09n07yg45fh212x","MGI:1917770","Glipr2","C57BL","Early adult","IMPC_CSD_013_001","0.09105765","Coat - hair distribution - abdomen"
"09u578h7b5xrx7a","MGI:1921722","Stpg3","C57BL","Early adult","IMPC_GEL_060_001","0.224469","Neural tube morphology"
"09u8g8qj68058qa","MGI:109424","Abca4","C57BL","Early adult","IMPC_GEM_019_001","0.6640131","Embryo Size"
"0a1i9w13nyz319x","MGI:2676312","Abca12","C57BL","E18.5","MGP_IMM_006_001","0.6667997","Effector CD4+ T helper cells - % of CD4+ T helper cells"
"0a8hr265t94uuqa","MGI:2676312","Abca12","C57BL","Early adult","IMPC_XRY_022_001","0.3047644","Radius"
"0aew56p8o89jdbx","MGI:2139018","Olah","C57BL","Early adult","IMPC_EYE_012_001","0.1260296","Pupil Shape"
"0ahf91845dw88vx","MGI:2444631","Bltp1","C57BL","Early adult","MGP_IMM_052_001","0.2030792","Plasma cells - % of B2 cells"
"0am5ydxb39r4jwa","MGI:1339968","Cth","C57BL","Early adult","IMPC_ABR_008_001","0.4021878","18kHz-evoked ABR Threshold"
"0as07i59mu32x8x","MGI:1916413","Mrpl44","C57BL","E9.5","IMPC_EYE_063_001","0.4334905","Right inner nuclear layer"
"0auecc5l5d0o96x","MGI:1927753","Inpp5e","C57BL","E15.5","IMPC_XRY_016_001","0.05597686","Number of pelvic vertebrae"
"0b1762s9nwcsjhx","MGI:2443100","Bend7","C57BL","Early adult","IMPC_CBC_013_001","0.6052987","Alanine aminotransferase"
