disease_id	disease_term	gene_accession_id	phenodigm_score
OMIM:617330	Hypotonia, Ataxia, And Delayed Development Syndrome	MGI:98967	23.67
OMIM:617600	Intellectual Developmental Disorder, Autosomal Dominant 45	MGI:98967	25.32
OMIM:617270	Intellectual Developmental Disorder, Autosomal Recessive 58	MGI:98967	42.67
OMIM:616682	Seizures, Scoliosis, And Macrocephaly/Microcephaly Syndrome	MGI:98967	15.88
OMIM:616939	Chorea, Childhood-Onset, With Psychomotor Retardation	MGI:98967	18.88
OMIM:616269	Intellectual Developmental Disorder, Autosomal Recessive 48	MGI:98967	55.11
OMIM:616351	Intellectual Developmental Disorder, Autosomal Dominant 34	MGI:98967	31.16
OMIM:616393	Intellectual Developmental Disorder, Autosomal Dominant 38	MGI:98967	38.59
OMIM:618914	Neurodevelopmental, Jaw, Eye, And Digital Syndrome	MGI:98967	23.94
OMIM:618504	Intellectual Developmental Disorder, Autosomal Recessive 71	MGI:98967	33.61
OMIM:617751	Intellectual Developmental Disorder, Autosomal Dominant 48	MGI:98967	21.34
OMIM:617751	Intellectual Developmental Disorder, Autosomal Dominant 48	MGI:98967	20.18
OMIM:617796	Intellectual Developmental Disorder, Autosomal Dominant 52	MGI:98967	22.35
OMIM:619229	Den Hoed-De Boer-Voisin Syndrome	MGI:98967	16.93
ORPHA:177907	Prader-Willi Syndrome Due To Translocation	MGI:98967	12.91
ORPHA:1170	Autosomal Recessive Cerebelloparenchymal Disorder Type 3	MGI:98967	15.28
ORPHA:139480	Autosomal Recessive Spastic Paraplegia Type 39	MGI:98967	17
ORPHA:100924	Porphyria Due To Ala Dehydratase Deficiency	MGI:98967	30.51
ORPHA:100986	Autosomal Recessive Spastic Paraplegia Type 5A	MGI:98967	24.99
ORPHA:101085	Charcot-Marie-Tooth Disease Type 1F	MGI:98967	12.2
OMIM:619717	Intellectual Developmental Disorder, Autosomal Recessive 73	MGI:98967	37.53
ORPHA:544254	Syngap1-Related Developmental And Epileptic Encephalopathy	MGI:98967	35.86
ORPHA:572798	Wars2-Related Combined Oxidative Phosphorylation Defect	MGI:98967	16.13
ORPHA:447757	Autosomal Dominant Spastic Paraplegia Type 9B	MGI:98967	17.13
ORPHA:370959	Congenital Muscular Dystrophy With Cerebellar Involvement	MGI:98967	27.38
ORPHA:251282	Autosomal Dominant Spastic Ataxia Type 1	MGI:98967	30.66
ORPHA:98784	Autosomal Dominant Nocturnal Frontal Lobe Epilepsy	MGI:98967	24.5
ORPHA:79282	Methylmalonic Acidemia With Homocystinuria, Type Cblc	MGI:98967	16.71
ORPHA:85277	X-Linked Intellectual Disability, Cantagrel Type	MGI:98967	17.55
ORPHA:70595	Sensory Ataxic Neuropathy-Dysarthria-Ophthalmoparesis Syndrome	MGI:98967	20.04
ORPHA:357058	Autosomal Recessive Cutis Laxa Type 2A	MGI:98967	19.26
OMIM:300614	Deafness, X-Linked 5, With Peripheral Neuropathy	MGI:98967	49.04
ORPHA:261537	Mowat-Wilson Syndrome Due To Monosomy 2Q22	MGI:98967	10.33
OMIM:619475	Developmental Delay, Impaired Speech, And Behavioral Abnormalities	MGI:98967	18.08
OMIM:619512	Neurodevelopmental Disorder With Hypotonia And Brain Abnormalities	MGI:98967	15.86
ORPHA:280763	Severe Intellectual Disability And Progressive Spastic Paraplegia	MGI:98967	18.96
OMIM:619054	Mitochondrial Complex Iv Deficiency, Nuclear Type 11	MGI:98967	11.19
OMIM:620786	Basal Ganglia Calcification, Idiopathic, 9, Autosomal Recessive	MGI:98967	33.16
OMIM:620065	Developmental Delay, Behavioral Abnormalities, And Neuropsychiatric Disorders	MGI:98967	26.55
OMIM:620141	Developmental Delay, Language Impairment, And Ocular Abnormalities	MGI:98967	23.3
ORPHA:457279	Intellectual Disability-Macrocephaly-Hypotonia-Behavioral Abnormalities Syndrome	MGI:98967	23.27
ORPHA:395	Homocystinuria Due To Methylene Tetrahydrofolate Reductase Deficiency	MGI:98967	16.44
ORPHA:247815	Autosomal Recessive Ataxia Due To Pex10 Deficiency	MGI:98967	24.44
ORPHA:86822	Lissencephaly Type 3-Metacarpal Bone Dysplasia Syndrome	MGI:98967	16.52
ORPHA:3077	X-Linked Intellectual Disability-Psychosis-Macroorchidism Syndrome	MGI:98967	32.17
ORPHA:3078	Severe X-Linked Intellectual Disability, Gustavson Type	MGI:98967	23.55
ORPHA:411511	Angelman Syndrome Due To A Point Mutation	MGI:98967	30.83
ORPHA:436151	Intellectual Disability-Expressive Aphasia-Facial Dysmorphism Syndrome	MGI:98967	47.48
ORPHA:352490	Autism Spectrum Disorder Due To Auts2 Deficiency	MGI:98967	20.96
ORPHA:353277	Rubinstein-Taybi Syndrome Due To Crebbp Mutations	MGI:98967	14.97
ORPHA:353281	Rubinstein-Taybi Syndrome Due To 16P13.3 Microdeletion	MGI:98967	19.59
ORPHA:353284	Rubinstein-Taybi Syndrome Due To Ep300 Haploinsufficiency	MGI:98967	14.97
ORPHA:927	Hyperammonemia Due To N-Acetylglutamate Synthase Deficiency	MGI:98967	22.24
OMIM:300986	Intellectual Developmental Disorder, X-Linked, Syndromic, Bain Type	MGI:98967	21.79
OMIM:301040	Alpha-Thalassemia/Impaired Intellectual Development Syndrome, X-Linked	MGI:98967	13.76
OMIM:309590	Intellectual Developmental Disorder, X-Linked, Syndromic, Turner Type	MGI:98967	14.23
OMIM:256840	Neuropathy, Hereditary Sensory, With Spastic Paraplegia, Autosomal Recessive	MGI:98967	15.73
OMIM:300260	Intellectual Developmental Disorder, X-Linked, Syndromic, Lubs Type	MGI:98967	28.27
OMIM:300486	Intellectual Developmental Disorder, X-Linked, Syndromic, Billuart Type	MGI:98967	31.32
OMIM:606053	Intellectual Developmental Disorder With Autism And Speech Delay	MGI:98967	46.53
OMIM:619306	Neurodevelopmental Disorder With Dysmorphic Facies And Cerebellar Hypoplasia	MGI:98967	14.51
OMIM:614756	Cerebellar Dysfunction With Variable Cognitive And Behavioral Abnormalities	MGI:98967	26.01
OMIM:600791	Deafness, Autosomal Recessive 4, With Enlarged Vestibular Aqueduct	MGI:98967	42.61
OMIM:600795	Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 7	MGI:98967	40
OMIM:615282	Cortical Dysplasia, Complex, With Other Brain Malformations 2	MGI:98967	20.65
OMIM:615771	Cortical Dysplasia, Complex, With Other Brain Malformations 6	MGI:98967	10.03
OMIM:617044	Short Stature, Developmental Delay, And Congenital Heart Defects	MGI:98967	26.42
OMIM:617061	Intellectual Developmental Disorder, Autosomal Dominant 44, With Microcephaly	MGI:98967	20.63
OMIM:617101	Intellectual Developmental Disorder With Persistence Of Fetal Hemoglobin	MGI:98967	34.26
OMIM:618147	Intellectual Developmental Disorder With Hypertelorism And Distinctive Facies	MGI:98967	35.85
OMIM:618825	Intellectual Developmental Disorder, Autosomal Dominant 63, With Macrocephaly	MGI:98967	23.94
OMIM:618917	Neurodevelopmental Disorder With Language Impairment And Behavioral Abnormalities	MGI:98967	31.99
OMIM:618497	Neurodevelopmental Disorder With Seizures And Nonepileptic Hyperkinetic Movements	MGI:98967	31.42
OMIM:617802	Neurodevelopmental Disorder With Microcephaly, Seizures, And Cortical Atrophy	MGI:98967	26.16
OMIM:617862	Neurodevelopmental Disorder With Microcephaly, Epilepsy, And Brain Atrophy	MGI:98967	29.96
OMIM:619121	Neurodevelopmental Disorder With Cardiomyopathy, Spasticity, And Brain Abnormalities	MGI:98967	24.76
OMIM:619150	Intellectual Developmental Disorder With Paroxysmal Dyskinesia Or Seizures	MGI:98967	41.73
OMIM:620021	Intellectual Developmental Disorder With Autism And Dysmorphic Facies	MGI:98967	34.02
OMIM:620242	Neurodevelopmental Disorder With Poor Growth And Behavioral Abnormalities	MGI:98967	24.91
ORPHA:457240	X-Linked Intellectual Disability-Short Stature-Overweight Syndrome	MGI:98967	31.71
ORPHA:466768	Autosomal Dominant Charcot-Marie-Tooth Disease Type 2Z	MGI:98967	15.9
ORPHA:508533	Skeletal Dysplasia-T-Cell Immunodeficiency-Developmental Delay Syndrome	MGI:98967	7.14
ORPHA:513456	Intellectual Disability-Seizures-Abnormal Gait-Facial Dysmorphism Syndrome	MGI:98967	21.87
ORPHA:529965	Intellectual Disability-Autism-Speech Apraxia-Craniofacial Dysmorphism Syndrome	MGI:98967	19.8
ORPHA:370022	Ataxia-Intellectual Disability-Oculomotor Apraxia-Cerebellar Cysts Syndrome	MGI:98967	13.05
ORPHA:647799	Myt1L-Related Developmental Delay-Intellectual Disability-Obesity Syndrome	MGI:98967	17.12
ORPHA:313892	Developmental And Speech Delay Due To Sox5 Deficiency	MGI:98967	18.92
ORPHA:369837	Intellectual Disability-Seizures-Hypophosphatasia-Ophthalmic-Skeletal Anomalies Syndrome	MGI:98967	7.35
ORPHA:261552	Mowat-Wilson Syndrome Due To A Zeb2 Point Mutation	MGI:98967	9.07
ORPHA:300570	Cortical Dysgenesis With Pontocerebellar Hypoplasia Due To Tubb3 Mutation	MGI:98967	20.78
OMIM:612069	Amyotrophic Lateral Sclerosis 10 With Or Without Frontotemporal Dementia	MGI:98967	35.62
OMIM:616579	Neurodevelopmental Disorder With Hypotonia, Impaired Language, And Dysmorphic Features	MGI:98967	29.32
OMIM:615802	Neurodevelopmental Disorder With Dysmorphic Features, Spasticity, And Brain Abnormalities	MGI:98967	20.67
OMIM:618718	Neurodevelopmental Disorder With Behavioral Abnormalities, Absent Speech, And Hypotonia	MGI:98967	43.86
OMIM:619005	Neurodevelopmental Disorder With Dysmorphic Facies, Impaired Speech, And Hypotonia	MGI:98967	14.16
OMIM:618430	Developmental Delay With Variable Intellectual Impairment And Behavioral Abnormalities	MGI:98967	26.99
OMIM:618653	Intellectual Developmental Disorder With Impaired Language And Dysmorphic Facies	MGI:98967	18.56
OMIM:617787	Intellectual Developmental Disorder, Autosomal Dominant 50, With Behavioral Abnormalities	MGI:98967	38.07
OMIM:620719	Neurodevelopmental Disorder With Motor Abnormalities, Seizures, And Facial Dysmorphism	MGI:98967	13.81
OMIM:620747	Neurodevelopmental Disorder With Early-Onset Parkinsonism And Behavioral Abnormalities	MGI:98967	37.75
OMIM:620502	Neurodevelopmental Disorder With Language Delay And Variable Cognitive Abnormalities	MGI:98967	20.44
OMIM:619522	Neurodevelopmental-Craniofacial Syndrome With Variable Renal And Cardiac Abnormalities	MGI:98967	13.82
OMIM:620330	Intellectual Developmental Disorder, Autosomal Dominant 71, With Behavioral Abnormalities	MGI:98967	22.49
ORPHA:445062	Juvenile-Onset Diabetes Mellitus-Central And Peripheral Neurodegeneration Syndrome	MGI:98967	29.66
ORPHA:447997	Spastic Tetraplegia-Thin Corpus Callosum-Progressive Postnatal Microcephaly Syndrome	MGI:98967	29.58
ORPHA:449291	Symptomatic Form Of Fragile X Syndrome In Female Carriers	MGI:98967	39.6
ORPHA:464311	Intellectual Disability Syndrome Due To A Dyrk1A Point Mutation	MGI:98967	15.36
ORPHA:468631	Microcephalic Cortical Malformations-Short Stature Due To Rttn Deficiency	MGI:98967	12.38
ORPHA:476126	Micrognathia-Recurrent Infections-Behavioral Abnormalities-Mild Intellectual Disability Syndrome	MGI:98967	17.68
ORPHA:508498	Intellectual Disability-Cardiac Anomalies-Short Stature-Joint Laxity Syndrome	MGI:98967	8.57
ORPHA:522077	Infantile Hypotonia-Oculomotor Anomalies-Hyperkinetic Movements-Developmental Delay Syndrome	MGI:98967	18.57
OMIM:300749	Intellectual Developmental Disorder With Microcephaly And Pontine And Cerebellar Hypoplasia	MGI:98967	19.92
OMIM:619470	Neurodevelopmental Disorder With Motor And Speech Delay And Behavioral Abnormalities	MGI:98967	30.84
OMIM:613443	Neurodevelopmental Disorder With Hypotonia, Stereotypic Hand Movements, And Impaired Language	MGI:98967	13.88
OMIM:613443	Neurodevelopmental Disorder With Hypotonia, Stereotypic Hand Movements, And Impaired Language	MGI:98967	27.05
