gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
MGI:1914210,Mindy3,C57BL,Early adult,IMPC_GEO_043_002,spina bifida,0.8417374
MGI:1096385,Bcan,C57BL,Middle aged adult,IMPC_XRY_027_001,Joints,0.7977132
MGI:1337072,Ier5,C57BL,Late adult,IMPC_EYE_017_001,Lens Opacity,0.1750285
MGI:2140050,Ints3,C57BL,E9.5,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.7013873
MGI:1919300,Poglut2,C57BL,Early adult,IMPC_ECH_012_001,LVPWs,0.3644325
MGI:1913746,Ppdpf,C57BL,Early adult,KMPCLA_GRS_010_001,Forelimb grip strength normalised against body weight,0.3783162
MGI:104899,Mob4,C57BL,E9.5,IMPC_EYE_063_001,Right inner nuclear layer,0.3873563
MGI:2685869,Dpy19l4,C57BL,Early adult,IMPC_CBC_017_001,Triglycerides,0.6230316
MGI:2443564,Ambra1,C57BL,E9.5,IMPC_DXA_009_001,Fat/Body weight,0.6530873
MGI:104793,Runx1t1,C57BL,Early adult,IMPC_GEP_034_001,Skin Appearance,0.1239294
MGI:1931071,Sec61a2,C57BL,Early adult,MGP_IMM_127_001,Plasmacytoid DC - % of CD45+,0.2049603
MGI:1921520,Usp20,C57BL,Early adult,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),0.6273834
MGI:2443100,Bend7,C57BL,Early adult,IMPC_GEM_025_002,Pallor,0.09748086
MGI:1916022,Smpdl3b,C57BL,Early adult,M-G-P_012_001_005,Body Weight,0.0785232
MGI:2684789,Lrsam1,C57BL,Early adult,ESLIM_015_001_011,Iron,0.3689669
MGI:2444508,Fitm2,C57BL,E15.5,IMPC_IMM_004_002,NKT cells (panel A) - % of live leukocytes (Panel A),0.6510462
MGI:2444508,Fitm2,C57BL,E12.5,IMPC_OFD_011_001,Periphery resting time,0.4212592
MGI:1914210,Mindy3,C57BL,Early adult,IMPC_IMM_014_002,Treg cells - % of live leukocytes (Panel A),0.9821411
MGI:2443564,Ambra1,C57BL,E12.5,IMPC_CBC_002_001,Potassium,0.07443484
MGI:2139461,Tmem62,C57BL,Early adult,MGP_PBI_005_001,Gamma delta T cell percentage,0.4668118
MGI:95975,Ifi44l,C57BL,Early adult,IMPC_HEM_032_001,Lymphocyte cell count,0.318936
MGI:1890510,Atp6v0b,C57BL,Early adult,IMPC_DXA_009_001,Fat/Body weight,1.34313e-09
MGI:1915282,Emc4,C57BL,Early adult,IMPC_ACS_006_001,Response amplitude - S,0.5399675
MGI:2140050,Ints3,C57BL,E9.5,IMPC_IMM_011_002,CD4+ NKT cells - % of live leukocytes (Panel A),0.3644017
MGI:98386,Sptan1,C57BL,E15.5,MGP_MLN_080_001,Effector gd cells - % of CD45+,0.2250577
MGI:107341,Ctss,C57BL,Early adult,IMPC_EYE_063_001,Right inner nuclear layer,0.05792599
MGI:2444631,Bltp1,C57BL,Early adult,ESLIM_011_001_005,PP4 startle magnitude,0.401883
MGI:1309469,Casq2,C57BL,E12.5,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.9421668
MGI:107171,Ppp3r2,C57BL,Early adult,IMPC_DXA_006_001,Body length,0.6978473
MGI:1924486,Sccpdh,C57BL,Early adult,IMPC_EYE_092_002,Retina (combined),0.6742481
MGI:1922387,Rprd2,C57BL,Early adult,IMPC_GEM_007_001,Pericardium Morphology,0.2628013
MGI:3649135,Gm7694,C57BL,Early adult,CCP_XRY_061_001,Fusion of processes,0.6728696
MGI:1350930,Srp9,C57BL,Early adult,IMPC_CSD_038_001,Trunk curl,0.06092209
MGI:97565,Pgm1,C57BL,E12.5,IMPC_OFD_013_001,Periphery average speed,0.6550375
MGI:107171,Ppp3r2,C57BL,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,0.1549889
MGI:1891259,Lrat,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.8125881
MGI:1350930,Srp9,C57BL,Early adult,MGP_IMM_073_001,Effector CD4+ T helper cells - % of CD45+,0.08269183
MGI:2140361,Slc35d1,C57BL,E18.5,IMPC_GEM_025_002,Pallor,0.3151736
MGI:3611233,Tox2,C57BL,Early adult,IMPC_EYE_025_001,Retinal Blood Vessels Structure,0.5267301
MGI:1919880,Hspa12b,C57BL,Early adult,UCD_OWT_005_001,Right kidney,0.4667722
MGI:107363,Stxbp1,C57BL,Early adult,IMPC_IPG_010_001,Fasted blood glucose concentration,0.8891581
MGI:2387617,Obp2a,C57BL,Early adult,IMPC_DXA_006_001,Body length,0.4420585
MGI:1919128,Fam83d,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.3341795
MGI:1890510,Atp6v0b,C57BL,Early adult,CCP_XRY_001_001,Skull shape,0.1308271
MGI:1921735,Lrrc71,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.2153291
MGI:1915643,Mogat1,C57BL,Early adult,MGP_IMM_010_001,Effector Treg cells - % of Treg,0.6912183
MGI:3588202,Garin4,C57BL,Early adult,IMPC_EYE_027_001,Persistence of hyaloid vascular system,0.5908706
MGI:1923676,Fam209,C57BL,Early adult,MGP_IMM_004_001,Total CD4+ T cells - % of ab T cells,0.7501101
MGI:1920199,Ccnt2,C57BL,Early adult,IMPC_GEO_065_001,Limb morphology,0.5905942
MGI:1917120,Polr3gl,C57BL,E18.5,JAX_ROT_002_001,Average duration,0.1745492
MGI:1923073,Fam227b,C57BL,Early adult,CCP_XRY_005_001,Teeth,0.7747743
MGI:106637,Slc30a2,C57BL,Early adult,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.8122028
MGI:98386,Sptan1,C57BL,E9.5,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.6218659
MGI:107363,Stxbp1,C57BL,E18.5,HMGULA_DYS_014_001,Coat - hair texture / appearance - back,0.1083035
MGI:106925,Cldn11,C57BL,Middle aged adult,IMPC_EYE_056_001,Mean left eye lens density,0.471783
MGI:1914454,Eif2s2,C57BL,E9.5,ESLIM_015_001_002,Urea,0.6083802
MGI:1337072,Ier5,C57BL,Late adult,MGP_MLN_114_001,Total DC - % of CD45+,0.6739605
MGI:1927753,Inpp5e,C57BL,E12.5,MGP_IMM_093_001,Resting CD4- NKT cells - % of CD45+,0.9947938
MGI:97383,Ntrk1,C57BL,Early adult,IMPC_ECH_018_001,Respiration Rate,0.08249887
MGI:2444631,Bltp1,C57BL,E12.5,CCP_XRY_031_001,Digit integrity,0.149796
MGI:1924232,Vxn,C57BL,Early adult,ESLIM_016_001_004,Haematocrit,0.7883811
MGI:1931071,Sec61a2,C57BL,Early adult,MGP_PBI_015_001,IgD+ mature B cell percentage,0.3718842
MGI:97324,Nhlh2,C57BL,Early adult,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.8660292
MGI:2445096,Dhtkd1,C57BL,Early adult,MGP_CSD_026_001,Ventral coat/hair colour,0.6006808
MGI:104559,Rcn1,C57BL,Early adult,IMPC_ECG_010_001,HRV,0.9466729
MGI:1922387,Rprd2,C57BL,E9.5,ESLIM_008_001_016,Trunk curl,0.7063446
MGI:1913491,Tmem9,C57BL,Early adult,IMPC_EYE_065_001,Right posterior chamber depth,0.4643552
MGI:103559,Sox18,C57BL,Early adult,IMPC_CBC_004_001,Urea (Blood Urea Nitrogen - BUN),0.2242012
MGI:2444391,Slc25a44,C57BL,Early adult,M-G-P_016_001_006,Mean-corpuscular-haemoglobin,0.9982552
MGI:2676312,Abca12,C57BL,Early adult,JAX_LDT_004_001,Dark side time spent,0.7131597
MGI:1923953,Cpb1,C57BL,Early adult,IMPC_GEP_022_001,Embryo Size,0.437636
MGI:1921520,Usp20,C57BL,Early adult,IMPC_CBC_013_001,Alanine aminotransferase,0.3223831
MGI:104516,Slc23a3,C57BL,Early adult,IMPC_IMM_004_002,NKT cells (panel A) - % of live leukocytes (Panel A),0.525513
MGI:2135283,Igsf9,C57BL,Early adult,ESLIM_005_001_701,BMC/Body weight,0.2325874
MGI:1920484,Snorc,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.8559221
MGI:1924467,Rspo4,C57BL,Early adult,IMPC_EYE_069_001,Left inner nuclear layer,0.64724
MGI:104793,Runx1t1,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.6861189
MGI:1915599,Ndufs3,C57BL,Early adult,CCP_XRY_005_001,Teeth,0.1114065
MGI:1913721,Anp32e,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.09163452
MGI:97565,Pgm1,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.52135
MGI:2158201,Acot8,C57BL,Early adult,CCP_XRY_019_001,Fusion of vertebrae,0.1999087
MGI:1919880,Hspa12b,C57BL,Early adult,IMPC_EYE_025_001,Retinal Blood Vessels Structure,0.7375433
MGI:98386,Sptan1,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.2837255
MGI:3576049,Ugt1a2,C57BL,Early adult,IMPC_EYE_070_001,Left outer nuclear layer,0.6887831
MGI:1918398,Mier1,C57BL,Early adult,CCP_LDT_008_001,Percent time in light,0.13155
MGI:1924232,Vxn,C57BL,Early adult,IMPC_CSD_026_001,Head morphology,0.7683114
MGI:2444631,Bltp1,C57BL,E12.5,MGP_MLN_080_001,Effector gd cells - % of CD45+,0.4469908
MGI:1350930,Srp9,C57BL,E12.5,IMPC_DXA_009_001,Fat/Body weight,0.3735927
MGI:1914454,Eif2s2,C57BL,E12.5,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.9881373
MGI:1915862,Ube2c,C57BL,E18.5,IMPC_CBC_023_001,Alpha-amylase,0.547062
MGI:97565,Pgm1,C57BL,E9.5,IMPC_EYE_064_001,Right outer nuclear layer,0.3302339
MGI:1913790,Fam107b,C57BL,Early adult,MGP_IMM_086_001,CD5+ gd T cells - % of CD45+,0.06371847
MGI:1926106,Fam163b,C57BL,Early adult,IMPC_HEM_038_001,Basophil differential count,0.8527822
MGI:105383,Il18r1,C57BL,Early adult,IMPC_OFD_009_001,Whole arena average speed,0.8833708
MGI:2685195,Zbtb34,C57BL,E9.5,IMPC_XRY_027_001,Joints,0.8634949
MGI:2443100,Bend7,C57BL,Early adult,MGP_MLN_075_001,Resting CD8+ T cells - % of CD45+,0.6204375
MGI:2679260,Crb2,C57BL,Early adult,IMPC_CSD_078_001,Vocalization,0.4162955
MGI:2442177,Pced1a,C57BL,Early adult,IMPC_CSD_078_001,Vocalization,0.5326356
MGI:106925,Cldn11,C57BL,Middle aged adult,MGP_IMM_012_001,KLRG1+ Treg cells - % of Treg,0.2839288
MGI:1096385,Bcan,C57BL,Late adult,UCDLA_CSD_011_001,Coat - hair distribution - back,0.9985413
MGI:1916987,Ttl,C57BL,E12.5,MGP_PBI_015_001,IgD+ mature B cell percentage,0.2463879
MGI:1913790,Fam107b,C57BL,Early adult,M-G-P_026_001_010,Mouth morphology,5.686925e-07
MGI:1921520,Usp20,C57BL,Early adult,CCP_LDT_007_001,Percent time in dark,0.8367766
MGI:1922776,Eppin,C57BL,Early adult,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.7482361
MGI:1346342,Clca1,C57BL,Early adult,IMPC_GEO_043_002,spina bifida,0.09189939
MGI:106637,Slc30a2,C57BL,Early adult,IMPC_CBC_009_001,Calcium,0.702226
MGI:1923073,Fam227b,C57BL,Early adult,M-G-P_025_001_002,Urea,0.5162972
MGI:2676312,Abca12,C57BL,Early adult,IMPC_OWT_002_001,Spleen weight,0.5902634
MGI:2384297,Map7d1,C57BL,E9.5,IMPC_ACS_006_001,Response amplitude - S,0.3050735
MGI:1919471,Cimip1,C57BL,Early adult,MGP_IMM_005_001,CD4+ T helper cells - % of CD4+,0.730254
MGI:2684789,Lrsam1,C57BL,Early adult,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.4452064
MGI:2444508,Fitm2,C57BL,E12.5,JAX_OFD_009_001,Whole arena average speed,0.5122807
MGI:1916987,Ttl,C57BL,Early adult,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.06292944
MGI:3617846,Ankrd34a,C57BL,Early adult,MGP_IMM_016_001,Naive CD8+ T cells - % of CD8+,0.3488772
MGI:1201673,Shox2,C57BL,E15.5,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.1060898
MGI:87867,Acadm,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.2423103
MGI:1919369,Tpx2,C57BL,E9.5,IMPC_EYE_087_001,Right vitreous humor thickness,0.907695
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_ACS_035_001,% Pre-pulse inhibition - PPI3,0.147197
MGI:1918142,Ttll7,C57BL,Early adult,IMPC_CSD_028_001,Snout size,0.3186615
MGI:1924232,Vxn,C57BL,Early adult,IMPC_DXA_009_001,Fat/Body weight,0.9655122
MGI:1913423,CCDC107,C57BL,Early adult,CCP_XRY_018_001,Shape of vertebrae,0.7850896
MGI:3617846,Ankrd34a,C57BL,Early adult,JAX_PLC_004_001,Glucose,0.8758001
MGI:1917120,Polr3gl,C57BL,Early adult,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.7956127
MGI:106925,Cldn11,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.8582319
MGI:106637,Slc30a2,C54BL,E9.5,IMPC_CBC_016_001,HDL-cholesterol,0.2671063
MGI:88525,Cryge,C57BL,Early adult,MGP_IMM_019_001,CD5+ gd T cells - % of gd T cells,0.635224
MGI:1095412,Unc5c,C57BL,Middle aged adult,JAX_LDT_002_001,Light side time spent,0.803952
MGI:103300,Rbl1,C57BL,Early adult,UCD_OWT_003_001,Spleen weight,0.9466426
MGI:3611450,Mettl21c,C57BL,Early adult,IMPC_XRY_027_001,Joints,0.860063
MGI:1920199,Ccnt2,C57BL,Early adult,IMPC_CBC_004_001,Urea (Blood Urea Nitrogen - BUN),0.2126099
MGI:95777,Gnas,129SV,Early adult,IMPC_CBC_003_001,Chloride,0.3035859
MGI:2444508,Fitm2,C57BL,E15.5,IMPC_XRY_023_001,Ulna,0.3347577
MGI:1927241,Wdr12,C57BL,E12.5,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.5628369
MGI:1922387,Rprd2,C57BL,E12.5,IMPC_CSD_013_001,Coat - hair distribution - abdomen,0.9571669
MGI:2387617,Obp2a,C57BL,Early adult,IMPC_XRY_023_001,Ulna,1.176422
MGI:1918398,Mier1,C57BL,Early adult,JAX_OFD_014_001,Center distance travelled,0.1371298
MGI:1927241,Wdr12,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.9110654
MGI:1917770,Glipr2,C57BL,Early adult,IMPC_EYE_092_002,Retina (combined),0.5466274
MGI:1859866,Cdc20,C57BL,Early adult,IMPC_FEA_015_001,Cue Baseline % Freezing Time,0.1600154
MGI:101770,Bfsp1,C57BL,Early adult,IMPC_ECH_013_001,HR,0.5324877
MGI:2443805,Bnc2,C57BL,Early adult,IMPC_HEM_030_001,Neutrophil cell count,0.9722131
MGI:2444274,Cfap65,C57BL,Early adult,IMPC_OFD_009_001,Whole arena average speed,0.8452188
MGI:2444631,Bltp1,C57BL,Early adult,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.8972444
MGI:1927753,Inpp5e,C57BL,E15.5,IMPC_HEM_004_001,Hematocrit,0.6239287
MGI:98386,Sptan1,C57BL,E9.5,IMPC_HEM_027_001,Red blood cell distribution width,0.3070182
MGI:1916987,Ttl,C57BL,E12.5,IMPC_OFD_019_001,Number of center entries,0.5850847
MGI:1921263,Rftn2,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.216896
MGI:1914454,Eif2s2,C57BL,E12.5,IMPC_IMM_011_002,CD4+ NKT cells - % of live leukocytes (Panel A),0.511238
MGI:1309469,Casq2,C57BL,E12.5,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.1754263
MGI:107363,Stxbp1,C57BL,E18.5,IMPC_GEM_068_001,Forebrain morphology,0.5097024
MGI:1924232,Vxn,C57BL,Early adult,UCDLA_EYE_083_001,Vitreous,0.2447342
MGI:88015,Ampd1,C57BL,E15.5,IMPC_EYE_017_001,Lens Opacity,0.1266463
MGI:107191,Bmpr1b,C57BL,Early adult,ESLIM_020_001_002,Heart weight,0.8926117
MGI:1916330,Gmppa,C57BL,Early adult,IMPC_ECH_012_001,LVPWs,0.2877018
MGI:1919471,Cimip1,C57BL,Early adult,IMPC_GEO_064_001,Edema,0.7090884
MGI:1922387,Rprd2,C57BL,E12.5,ESLIM_016_001_004,Haematocrit,0.6936145
MGI:1096385,Bcan,C57BL,Late adult,UCDIP_CSD_014_001,Coat - hair texture / appearance - back,0.3606844
MGI:104294,Tyro3,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.6970378
MGI:1922776,Eppin,C57BL,Early adult,IMPC_HEM_027_001,Red blood cell distribution width,0.110921
MGI:2138198,D630023F18Rik,C57BL,Early adult,IMPC_CBC_024_001,UIBC (unsaturated iron binding capacity),0.6335595
MGI:2140050,Ints3,C57BL,Early adult,IMPC_IPG_012_001,Area under glucose response curve,0.2550914
MGI:98397,Src,129SV,Early adult,IMPC_ECG_028_001,QT,0.7352954
MGI:1919051,Plekhf2,C57BL,Early adult,MGP_PBI_005_001,Gamma delta T cell percentage,0.2384632
MGI:101813,Coq3,C57BL,E9.5,CCP_XRY_004_001,Mandibles,0.7553434
MGI:2444631,Bltp1,C57BL,Early adult,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.09500919
MGI:101813,Coq3,C57BL,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.7247845
MGI:98386,Sptan1,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.2707336
MGI:2677271,Slc24a5,C57BL,Early adult,IMPC_GEO_019_001,Embryo Size,0.800492
MGI:107674,Cd1d1,C57BL,Early adult,IMPC_OFD_050_001,Percentage center movement time,0.7779199
MGI:101813,Coq3,C57BL,E9.5,CCP_LDT_003_001,Time mobile light side,0.2634812
MGI:1914199,Trim59,C57BL,E18.5,IMPC_HEM_003_001,Hemoglobin,0.3516525
MGI:1919051,Plekhf2,C57BL,Early adult,UCDLA_CSD_011_001,Coat - hair distribution - back,0.2075904
MGI:1096385,Bcan,C57BL,Late adult,IMPC_GEM_019_001,Embryo Size,0.8960334
MGI:105383,Il18r1,C57BL,Early adult,IMPC_GEM_019_001,Embryo Size,0.4117648
MGI:1921735,Lrrc71,C57BL,Early adult,JAX_OFD_050_001,Percentage center movement time,0.845315
MGI:107363,Stxbp1,C57BL,E9.5,IMPC_CSD_007_001,Coat - color - abdomen,0.8087706
MGI:1914454,Eif2s2,C57BL,Early adult,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.4390814
MGI:1309469,Casq2,C57BL,E15.5,IMPC_CBC_010_001,Phosphorus,0.6057513
MGI:1922423,Tex38,C57BL,Early adult,IMPC_EYE_023_001,Optic Disc,0.7258464
MGI:1913761,Chtop,C57BL,Early adult,MGP_MLN_015_001,Naive CD8+ T cells - % of CD8+,0.0529714
MGI:2385213,Pdik1l,C57BL,Late adult,ESLIM_015_001_011,Iron,0.4683818
MGI:1350930,Srp9,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.8579555
MGI:1921263,Rftn2,C57BL,Early adult,IMPC_XRY_057_001,Kyphosis,0.3223051
MGI:3576049,Ugt1a2,C57BL,Early adult,IMPC_EYE_063_001,Right inner nuclear layer,0.4940689
MGI:1201673,Shox2,C50BL,E12.5,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.09771712
MGI:2444824,Sirpb1a,C57BL,Early adult,IMPC_CSD_014_001,Coat - hair texture / appearance - back,0.135488
MGI:107674,Cd1d1,C57BL,Early adult,MGP_MLN_012_001,Total CD8+ T cells - % of ab T cells,0.8013516
MGI:1309469,Casq2,C57BL,E12.5,IMPC_GEL_011_001,Embryo turning,0.9776704
MGI:88015,Ampd1,C57BL,E15.5,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.6604419
MGI:1278321,Epc2,C57BL,Early adult,MGP_IMM_108_001,Marginal zone B cells - % of CD45+,0.6509706
MGI:1922828,Fggy,C57BL,Early adult,IMPC_XRY_006_001,Scapulae,0.5052725
MGI:1919128,Fam83d,C57BL,Early adult,IMPC_CBC_003_001,Chloride,0.7223276
MGI:1337072,Ier5,C57BL,Late adult,ESLIM_008_001_016,Trunk curl,0.5455338
MGI:1890510,Atp6v0b,C57BL,Early adult,IMPC_CSD_014_001,Coat - hair texture / appearance - back,0.4726685
MGI:3045320,Mgat4f,C57BL,Early adult,JAX_LDT_009_001,Percent time in light,0.09760414
MGI:3588216,Ube2u,C57BL,Early adult,JAX_LDT_002_001,Light side time spent,0.7405956
MGI:104516,Slc23a3,C57BL,Early adult,IMPC_EYE_065_001,Right posterior chamber depth,0.9605218
MGI:2444824,Sirpb1a,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.8837661
MGI:1349164,Sdc4,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.6957086
MGI:1095412,Unc5c,C57BL,Middle aged adult,IMPC_CBC_010_001,Phosphorus,0.06121722
MGI:104708,Cct3,C57BL,E9.5,IMPC_CSD_023_001,Vibrissae - presence,0.7877606
MGI:97803,Ptma,C57BL,E15.5,IMPC_GRS_011_001,Forelimb and hindlimb grip strength normalised against body weight,0.9940189
MGI:2679420,Pak6,C57BL,Early adult,IMPC_EYE_062_001,Right total retinal thickness,0.6163224
MGI:1201673,Shox2,C57BL,E9.5,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.7267413
MGI:2140050,Ints3,C57BL,E9.5,HMGULA_DYS_016_001,Coat - hair texture / appearance - abdomen,0.4278983
MGI:99218,Cdh4,C57BL,Early adult,IMPC_CBC_008_001,Total bilirubin,0.9658038
MGI:1096385,Bcan,C57BL,Middle aged adult,IMPC_XRY_015_001,Number of lumbar vertebrae,0.5412016
MGI:1915247,Ddx59,C57BL,E9.5,MGP_MLN_072_001,KLRG1+ Treg cells - % of CD45+,0.9334905
MGI:1915247,Ddx59,C57BL,E9.5,HRWL_OWT_001_001,Spleen weight,0.4161443
MGI:2679260,Crb2,C57BL,Early adult,UCD_OWT_003_001,Spleen weight,0.343523
MGI:1351315,Eloa,C57BL,Early adult,IMPC_GEP_005_002,Responsive to tactile stimuli,0.4580237
MGI:1913761,Chtop,C57BL,Early adult,IMPC_XRY_060_001,Transitional vertebrae,0.5750767
MGI:1096385,Bcan,C57BL,Early adult,IMPC_DXA_007_001,BMC/Body weight,0.3121377
MGI:97565,Pgm1,C57BL,E12.5,CCP_LFO_001_001,Weight,0.9265876
MGI:2139018,Olah,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.8235727
MGI:88525,Cryge,C57BL,Early adult,IMPC_CBC_001_001,Sodium,0.2056472
MGI:1915862,Ube2c,C57BL,Early adult,IMPC_ECG_028_001,QT,0.9666203
MGI:3650206,Gm12695,C57BL,Early adult,M-G-P_025_001_005,Potassium,0.6426002
MGI:2684789,Lrsam1,C57BL,Early adult,IMPC_GEP_034_001,Skin Appearance,0.1353233
