"procedure_id","procedure_name","procedure_description","is_mandatory"
21,"Gross Morphology Embryo E9.5","gross_morphology_embryo_e9.5",0
22,"Gross Morphology Placenta E12.5","gross_morphology_placenta_e12.5",0
23,"Gross Morphology Placenta E14.5-E15.5","gross_morphology_placenta_e14.5-e15.5",0
24,"Gross Morphology Placenta E18.5","gross_morphology_placenta_e18.5",0
25,"Gross Morphology Placenta E9.5","gross_morphology_placenta_e9.5",0
26,"Gross Pathology and Tissue Collection","To perform a complete necropsy to detect and record abnormal external findings and macroscopic alterations in internal and external organs, record body and heart weights (see IMPC Heart Weight SOP), and collect a standardized list of tissues for fixation with or without further processing (see non-mandatory IMPC Tissue Embedding & Block Banking SOP).",1
27,"Heart Weight","To evaluate cardiac size using heart weight and body weight.",1
28,"Hematology","Hematological assessment of blood determines blood cell counts (white blood cells, red blood cells, hemoglobin, and platelets) and additional hematological parameters (hematocrit, mean cell volume, mean corpuscular hemoglobin, mean cell hemoglobin concentration) can be derived using these indices. These tests will indicate abnormalities in the production of blood and its components (blood cells and hemoglobin) as well as in the associated blood-forming organs. Ontological description: MP:0002429 - abnormal blood cell morphology/development.",1
29,"Histopathology","histopathology",0
30,"Housing and Husbandry","housing_and_husbandry",0
31,"Immunophenotyping","Immunophenotyping of immune system cells",1
32,"Indirect Calorimetry","Indirect calorimetry provides detailed information on the energy metabolism of mutant mice. Energy expenditure is evaluated through indirect calorimetry by measuring oxygen consumption with an open flow respirometric system. CO2 and O2 sensors measure the difference in CO2 and O2 concentrations in air volumes flowing through control or animal cages. The amount of oxygen consumed over a given period of time can thus be calculated, as far as the air flow through the cage is known. Data are expressed as ml O2 h-1animal-1. The system also monitors CO2 production, therefore, the respiratory exchange ratio (RER) and heat production can be calculated. An activity and food and water intake monitoring system can also be integrated into the set up in order to investigate circadian pattern and behaviour.Ontological description: MP:0005266 - abnormal metabolism.",0
33,"Insulin Blood Level","The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].",0
34,"Intraperitoneal glucose tolerance test (IPGTT)","The glucose tolerance test measures the clearance of an intraperitoneally injected glucose load from the body. It is used to detect disturbances in glucose metabolism that can be linked to human conditions such as diabetes or metabolic syndrome. Animals are fasted for approximately 16 hours, fasted blood glucose levels are determined before a solution of glucose is administered by intra-peritoneal (IP) injection. Subsequently, the blood glucose level is measured at different time points during the following 2 hours.Ontological description: MP:0005559 - increased circulating glucose level, MP:0005560 - decreased circulating glucose level, MP:0005293 - impaired glucose tolerance, MP:0005292 - improved glucose tolerance, MP:0005291           abnormal glucose tolerance, MP:0000188 - abnormal circulating glucose level.",1
35,"Light-Dark Test","Light-Dark test monitors the anxiety-related behaviour of mice",0
36,"MicroCT E14.5-E15.5","microct_e14.5-e15.5",0
37,"MicroCT E14.5-E15.5 Analysis","microct_e14.5-e15.5_analysis",0
38,"MicroCT E18.5","microct_e18.5",0
39,"MicroCT E9.5","microct_e9.5",0
40,"OPT E9.5","opt_e9.5",0
41,"Open Field","The Open Field test is used to assess anxiety and exploratory behaviors. It is based on the natural tendency of an animal to explore and to protect itself using avoidance which translates to a normal animal spending more time in the periphery of the Open Field arena than in the center (the most anxiogenic area).",1
42,"Organ Weight","Organ weights from different tissues collected for IMPC",0
43,"Tissue Embedding and Block Banking","Collect and fix a standard list of tissues from the complete necropsy (see IMPC Gross Pathology & Tissue Collection SOP)Trim the fixed tissues into cassettes for processingEmbed the tissues in paraffin in a standard orientation",0
44,"Viability E12.5 Secondary Screen","viability_e12.5_secondary_screen",0
45,"Viability E14.5-E15.5 Secondary Screen","viability_e14.5-e15.5_secondary_screen",0
46,"Viability E18.5 Secondary Screen","viability_e18.5_secondary_screen",0
47,"Viability E9.5 Secondary Screen","viability_e9.5_secondary_screen",0
48,"Viability Primary Screen","Assess the viability of mutant mice of each sex and zygosity.",1
49,"Welfare Observations","The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.",0
50,"X-ray","Construct and analyse digital X-ray images in immobilised mice using a Faxitron X-Ray system or NTB digital X-ray scanner.",1
51,"Y-maze","Y-maze assesses learning and memory; it can be used instead/in parallel of Fear Conditioning",0
52,"Unknown Procedure","No information available for the procedure associated with this parameter",0
