"disease_id","disease_term"
"ORPHA:3385","African Trypanosomiasis"
"ORPHA:2075","Genitopalatocardiac Syndrome"
"ORPHA:250923","Isolated Aniridia"
"ORPHA:2331","Kawasaki Disease"
"ORPHA:94083","Partington Syndrome"
"ORPHA:79500","Doors Syndrome"
"ORPHA:744","Proteus Syndrome"
"ORPHA:75858","Morm Syndrome"
"ORPHA:781","Q Fever"
"ORPHA:96253","Cushing Disease"
"ORPHA:79324","Alg12-Cdg"
"ORPHA:85138","Addison Disease"
"ORPHA:31150","Tangier Disease"
"ORPHA:90041","Gaisböck Syndrome"
"ORPHA:439254","Itm2B Amyloidosis"
"ORPHA:67043","Amoebic Keratitis"
"ORPHA:708","Peters Anomaly"
"ORPHA:91","Aromatase Deficiency"
"ORPHA:91355","Sheehan Syndrome"
"OMIM:246700","Chylomicron Retention Disease"
